top_pathway,nb_uniprot_ids,clique_size
Autophagy,140,9730
CellCycle,667,222111
CellCellCommunication,323,52003
CellularResponseToStimuli,868,376278
ChromatinOrganization,345,59340
CircadianClock,111,6105
DevelopmentalBiology,1416,1001820
DigestionAndAbsorption,28,378
Disease,2534,3209311
DNARepair,314,49141
DNAReplication,153,11628
DrugADME,111,6105
ExtracellularMatrixOrganization,310,47895
GeneExpression(Transcription),1539,1183491
Hemostasis,717,256686
ImmuneSystem,2313,2673828
Metabolism,2216,2454220
MetabolismOfProteins,2113,2231328
MetabolismOfRNA,747,9730
MuscleContraction,198,74840
NeuronalSystem,400,79800
OrganelleBiogenesisAndMaintenance,285,13669
ProgrammedCellDeath,203,203813
ProteinLocalization,166,13695
Reproduction,127,8001
SensoryPerception,639,203841
SignalTransduction,2586,3342405
TransportOfSmallMolecules,716,255970
VesicleMediatedTransport,746,277885
